,srv_lat,srv_long,epoch_s,ind,BigBelly,dist
978,42.3219,-71.1081,1412324224,978,131,249.1375354164643
979,42.3041,-71.0669,1402465893,979,498,510.1310184511907
980,42.3594,-71.0587,1408710940,980,90,83.60968504801636
981,42.3141,-71.0543,1397732151,981,172,928.4272267713212
982,42.3149,-71.0739,1401897532,982,369,3354.919077348961
983,42.3106,-71.082,1390053944,983,489,4272.378073043383
984,42.3068,-71.0696,1404191848,984,489,651.9042435009388
985,42.3594,-71.0587,1409496048,985,90,83.60968504801636
986,42.351,-71.134,1416377526,986,213,695.3493539474916
987,42.2945,-71.0706,1405344145,987,282,1610.7070021859245
988,42.3586,-71.1373,1404825787,988,245,1662.7032098221437
989,42.2938,-71.0609,1407251051,989,282,2967.1452454130394
990,42.3496,-71.1522,1398956105,990,382,163.82279507103797
991,42.3594,-71.0587,1392272080,991,90,83.60968504801636
992,42.3248,-71.1087,1419926811,992,131,863.2526921534627
993,42.3594,-71.0587,1391088626,993,90,83.60968504801636
994,42.3594,-71.0587,1394604513,994,90,83.60968504801636
995,42.3005,-71.0797,1399904519,995,498,3267.1606029677428
996,42.3399,-71.1454,1415796088,996,460,1485.8152949063408
997,42.3578,-71.1275,1411557200,997,245,1615.7237688682949
998,42.3594,-71.0587,1410181177,998,90,83.60968504801636
999,42.2918,-71.0535,1414388699,999,282,4692.876647632848
1000,42.3595,-71.129,1404904295,1000,245,1732.1041808339064
1001,42.3594,-71.0587,1415604466,1001,90,83.60968504801636
1002,42.351,-71.1702,1405583668,1002,216,4017.5840005573427
1003,42.3067,-71.0702,1398322384,1003,489,766.8597239290391
1004,42.3546,-71.1306,1406825744,1004,299,647.5664309160524
1005,42.355,-71.1314,1409139599,1005,245,412.3763664889033
